Account,trade_date,trade_count,total_pnl,avg_size_usd,total_fee,avg_execution_price,buy_ratio,long_ratio,unique_assets,win_rate,fg_value,sentiment,net_pnl_after_fee,pnl_per_trade,size_to_fee_ratio,next_day_pnl,current_day_pnl,target_label
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-05-01,3,0.0,159.0,0.0,1898.1333333333332,1.0,0.0,1,0.0,63.0,Greed,0.0,0.0,159.0,0.0,0.0,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-05,9,0.0,5556.203333333334,12.501455,11038.3,0.7777777777777778,0.0,2,0.0,75.0,Extreme Greed,-12.501455,0.0,411.5262638977306,-205.43473700000007,0.0,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-14,11,-205.43473700000007,10291.213636363636,28.300831000000002,8031.868818181818,0.45454545454545453,0.0,4,0.36363636363636365,72.0,Greed,-233.73556800000006,-18.675885181818188,351.2259988927835,-24.632033999999997,-205.43473700000007,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-15,2,-24.632033999999997,5304.975,2.652489,2.982,1.0,0.0,1,0.0,70.0,Greed,-27.284522999999997,-12.316016999999999,1452.4273721289785,0.0,-24.632033999999997,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-16,3,0.0,5116.256666666667,3.8371890000000004,0.3847066666666667,1.0,0.0,1,0.0,67.0,Greed,-3.8371890000000004,0.0,1057.6921155379016,304.982785,0.0,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-17,14,304.982785,8305.572857142857,29.069499,802.5418592857143,0.21428571428571427,0.0,3,0.5,73.0,Greed,275.91328599999997,21.78448464285714,276.21254538171246,0.0,304.982785,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-18,2,0.0,15582.089999999998,7.791045,2178.1000000000004,1.0,0.0,1,0.0,65.0,Greed,-7.791045,0.0,1772.4957613116526,1000.5386120000001,0.0,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-19,15,1000.5386120000001,6106.827333333334,22.900596,447.8019113333333,0.3333333333333333,0.0,2,0.6666666666666666,73.0,Greed,977.6380160000001,66.70257413333334,255.50941630632698,162.732282,1000.5386120000001,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-20,18,162.732282,7868.710555555556,35.409187,6.722871666666666,0.5555555555555556,0.0,2,0.4444444444444444,74.0,Greed,127.323095,9.040682333333333,216.11882065797172,537.211402,162.732282,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-21,49,537.211402,2555.795306122449,31.308469,91.84020408163265,0.4489795918367347,0.0,1,0.5306122448979592,70.0,Greed,505.902933,10.963498000000001,79.10604820434075,141.832675,537.211402,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-22,10,141.832675,8887.428,22.218566000000003,30692.8325,0.8,0.0,2,0.2,74.0,Greed,119.61410899999998,14.1832675,382.7724761296627,146.936704,141.832675,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-23,13,146.936704,6033.711538461538,19.609555,3.0702846153846153,0.38461538461538464,0.0,2,0.6153846153846154,70.0,Greed,127.32714899999999,11.302823384615383,292.7628247413172,1008.619956,146.936704,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-24,39,1008.619956,10332.177948717948,100.738715,13680.54118025641,0.5384615384615384,0.0,4,0.38461538461538464,71.0,Greed,907.881241,25.862050153846155,101.55600990948183,-245.081348,1008.619956,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-25,3,-245.081348,19982.836666666666,14.987124999999999,2275.4,0.6666666666666666,0.0,1,0.0,73.0,Greed,-260.068473,-81.69378266666666,1249.9330972058244,-704.8892269999999,-245.081348,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-27,28,-704.8892269999999,6121.823571428571,42.852747,0.37319214285714286,0.5357142857142857,0.0,2,0.14285714285714285,73.0,Greed,-747.7419739999999,-25.174615249999995,139.5995459857639,-970.730876,-704.8892269999999,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-28,23,-970.730876,4352.923913043478,25.0293,0.4032943478260869,0.43478260869565216,0.0,2,0.0,73.0,Greed,-995.760176,-42.20569026086957,167.23169324735886,508.92214299999995,-970.730876,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-29,50,508.92214299999995,11391.1944,142.389901,3836.17816,0.62,0.0,4,0.3,65.0,Greed,366.53224199999994,10.178442859999999,79.44209683218904,354.998648,508.92214299999995,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-30,52,354.998648,13510.58096153846,175.637526,13421.615271153847,0.38461538461538464,0.0,3,0.4423076923076923,68.0,Greed,179.361122,6.826897076923077,76.48760298838458,-129.53146,354.998648,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-01,18,-129.53146,14679.973888888888,66.059867,10373.330666666667,0.5555555555555556,0.0,3,0.05555555555555555,65.0,Greed,-195.591327,-7.196192222222223,218.90848499429455,783.979116,-129.53146,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-02,17,783.979116,7138.1611764705885,30.337176,10199.892598764705,0.5294117647058824,0.0,2,0.47058823529411764,71.0,Greed,753.64194,46.11641858823529,227.78571931531383,866.015507,783.979116,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-03,67,866.015507,5888.050149253731,98.624811,738.8837898507463,0.47761194029850745,0.0,6,0.417910447761194,70.0,Greed,767.3906959999999,12.925604582089552,59.10224662061072,-67.60364,866.015507,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-04,5,-67.60364,19958.508,24.948132,2212.62,0.4,0.0,1,0.0,68.0,Greed,-92.551772,-13.520728,769.1693567768193,164.141565,-67.60364,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-05,66,164.141565,25817.31303030303,425.985639,30495.46818181818,0.4696969696969697,0.0,2,0.19696969696969696,72.0,Greed,-261.844074,2.486993409090909,60.464124954570266,135.58166400000002,164.141565,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-06,22,135.58166400000002,13569.154545454547,74.630342,6586.107318181818,0.5,0.0,3,0.45454545454545453,70.0,Greed,60.95132200000002,6.16280290909091,179.4141635040411,-835.681235,135.58166400000002,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-07,97,-835.681235,10812.887216494846,262.212464,7513.911021649485,0.5360824742268041,0.0,8,0.09278350515463918,71.0,Greed,-1097.893699,-8.615270463917525,41.080452848520295,-269.874439,-835.681235,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-08,128,-269.874439,11894.159609375,380.613064,15078.63093734375,0.3125,0.0,6,0.25,71.0,Greed,-650.4875030000001,-2.1083940546875,31.16811433210001,-826.349863,-269.874439,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-09,70,-826.349863,12429.313857142857,204.012928,14127.109546714286,0.4,0.0,6,0.2571428571428571,76.0,Extreme Greed,-1030.362791,-11.804998042857143,60.626975959012974,-1517.091342,-826.349863,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-10,193,-1517.091342,10660.515440414507,434.044865,12914.76879230052,0.47668393782383417,0.0,5,0.21243523316062177,73.0,Greed,-1951.136207,-7.860576901554404,24.504404713326537,-164.08950099999998,-1517.091342,big_loss
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-11,2,0.0,23066.935,11.072125999999999,46132.0,1.0,0.0,1,0.0,76.0,Extreme Greed,-11.072125999999999,0.0,1910.7599605902062,152.85358,0.0,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-11,19,-164.08950099999998,13641.064736842105,64.795045,8563.779684210527,0.5789473684210527,0.0,3,0.2631578947368421,76.0,Extreme Greed,-228.884546,-8.636289526315789,207.32662675194013,-1925.519024,-164.08950099999998,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-12,7,-1925.519024,28583.181428571428,49.480726999999995,39774.47142857143,0.7142857142857143,0.0,2,0.0,71.0,Greed,-1974.9997509999998,-275.0741462857143,566.2196867444368,0.0,-1925.519024,big_loss
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-15,9,152.85358,69.98444444444445,0.151157,2506.577777777778,0.0,0.0,1,1.0,52.0,Neutral,152.70242299999998,16.983731111111112,60.794873717872065,-3238.8,152.85358,small_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-15,5,0.0,10001.248,12.501555,42354.8,1.0,0.0,1,0.0,52.0,Neutral,-12.501555,0.0,740.7478620055246,939.6285419999999,0.0,small_loss
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-16,6,-3238.8,10580.346666666666,4.082997,14311.184166666666,0.6666666666666666,0.0,2,0.0,64.0,Greed,-3242.882997,-539.8000000000001,2081.517393511479,-2478.06972,-3238.8,big_loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-16,3,939.6285419999999,17648.416666666668,13.236312,28694.461933333336,0.0,0.0,2,1.0,64.0,Greed,926.3922299999999,313.20951399999996,1239.6761651940944,813.2741110000001,939.6285419999999,small_win
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-17,53,813.2741110000001,15110.019433962265,159.707606,20112.302,0.5849056603773585,0.0,2,0.20754716981132076,60.0,Greed,653.566505,15.344794547169812,94.0218064972125,68.93319,813.2741110000001,small_win
